1,Los Alamos/Sandia National Lab,0,4,1276.56,5106.24
2,Nuc 200,1,4,1282.94,5131.76
3,Y-12,0,6,1858.48,11150.88
4,NNSS,0,4,448.47,1793.88
5,PANTEX,0,2,1267.52,2535.04
6,Bangor NAS,0,3,1288.12,3864.36
7,NMCC,1,2,2310.44,4620.88
8,LLNL,0,5,1048.1,5240.5
9,AF WERX,1,3,2555.28,7665.84
10,Kingsbay,0,4,1160.29,4641.16
11,AFA Symposium,1,1,3318.6,3318.6
12,Honeywell Tour,0,4,1380.22,5520.88
13,Nuclear Symposium,1,4,1841.13,7364.52
