1,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0
3,0,0,0,1,0,0,0
4,0,0,0,1,0,0,0
5,0,0,0,1,0,0,0
6,1,1,0,1,9,0,0
7,1,0,0,1,12,0,0
8,0,0,0,1,0,0,0
9,0,0,0,0,0,0,0
10,0,0,1,1,0,0,0
11,0,0,1,0,0,0,0
12,2,0,0,1,8,12,0
13,1,0,0,0,8,0,0
14,0,0,0,1,0,0,0
15,1,1,1,0,9,0,0
16,0,0,0,0,0,0,0
17,2,0,0,0,3,4,0
18,1,0,0,0,4,0,0
19,1,0,0,0,1,0,0
20,2,0,1,0,3,10,0
21,0,0,0,1,0,0,0
22,0,0,0,0,0,0,0
23,2,0,0,1,3,10,0
24,1,1,1,1,13,0,0
25,3,1,0,0,2,4,10
26,0,0,1,1,0,0,0
27,1,1,1,0,9,0,0
28,0,0,0,1,0,0,0
29,2,0,0,0,8,12,0
30,0,0,0,0,0,0,0
31,2,1,0,0,3,13,0
32,0,0,1,0,0,0,0
33,1,0,0,1,8,0,0
34,3,2,0,0,2,6,13
35,3,2,1,0,2,6,13
36,1,1,0,0,11,0,0
37,3,1,0,0,2,3,8
